%Massa	Na %	K %
0.0395	6.2	4.8
%0.0379	14.2	17.2
0.0510	4.8	3.3
0.0355	5.4	3.4
0.0814	5.2	4.3
0.0636	5.5	4.7
0.0298	5.4	4.0
0.1250	5.6	4.6
0.0350	5.7	5.1
0.0199	2.5	2.0
0.0734	2.6	1.5
0.0700	5.1	4.9
0.0108	13.0	10.2
0.1052	3.1	2.9
0.0489	6.1	4.9
0.0333	3.2	1.5
0.1199	4.7	3.7
0.0566	7.8	6.3
0.0438	3.7	2.7
0.0919	3.8	3.6
0.0639	6.1	5.8
0.0133	7.7	1.5
0.0729	3.6	3.7
0.0767	8.1	3.4
0.0085	12.8	9.4
0.0806	3.0	1.9
0.0466	9.6	5.2
0.1337	2.2	2.0
0.0691	5.3	3.0
0.0282	7.4	3.9
0.0559	5.7	3.2
0.0399	7.9	4.0
0.0199	7.8	4.0
0.1117	2.2	2.7
0.0499	5.9	5.2
0.0450	4.9	0.9
0.1029	5.1	8.2
0.0529	4.7	2.6
0.0330	5.2	2.7
0.2199	2.5	3.8
0.0428	8.7	5.2
0.0386	5.7	4.7
0.2379	2.1	3.5
0.0442	7.9	5.4
0.1106	5.8	2.4
0.0620	12.1	9.0
0.0294	22.1	2.0
0.1730	0.9	0.6
0.0550	3.0	2.0
0.0422	8.3	1.4
0.1585	3.2	5.0
0.0578	7.4	10.7
0.0240	13.3	0.4
0.0325	12.6	5.5
0.0539	11.7	8.5
0.0541	6.5	2.4
0.1740	5.1	4.7
0.0672	10.4	8.3
0.0458	9.8	2.2
0.1419	5.8	4.2
0.1108	9.9	6.7
0.0265	9.4	5.7
0.0128	4.7	3.9
0.0670	9.0	4.5
0.0232	2.6	0.9
0.0615	2.9	2.0
0.0319	6.9	5.0
0.0194	17.0	3.1
0.0090	2.3	4.9
0.0517	8.3	3.9
0.0438	5.5	3.7
0.0983	6.0	4.4
0.0498	6.0	5.4
0.0681	4.1	2.1
0.1562	3.8	7.2
0.0516	5.4	3.7
0.0243	3.4	3.0
0.0748	1.7	5.8
0.0411	3.2	6.4
0.0374	5.6	2.9
0.1431	12.0	8.2
0.0624	8.2	6.3
0.0327	6.1	3.7
0.1466	2.9	4.7
0.0642	8.4	5.5
0.0103	7.6	4.9
0.1636	4.5	3.9
0.0704	8.1	2.8
0.0456	3.7	1.5
0.2673	2.0	2.2
0.1095	5.7	9.1
0.0141	4.3	0.7
0.2118	1.7	4.5
0.0264	17.8	14.0
0.0265	6.4	2.7
0.1459	3.7	4.7
0.0465	6.8	5.7
0.0308	4.9	2.6
0.1140	3.5	9.2
0.0725	8.3	7.2
0.0295	6.8	2.0
0.1089	3.4	7.0
0.0689	7.7	7.3
0.0323	7.7	3.1
0.1240	8.8	3.9
0.0740	9.6	5.3
0.0180	9.4	3.9
0.0916	5.5	4.3
0.0336	10.7	7.1
0.0210	9.0	1.9
0.1986	5.5	7.7
0.0421	5.9	3.3
0.0240	6.7	3.8
0.0544	3.5	9.0
0.0426	5.4	4.7
0.0120	5.8	2.5
0.0774	2.5	7.2
0.0482	5.0	9.3
0.0254	7.1	2.8
0.0859	3.7	5.1
0.0630	6.2	5.1
0.0192	4.7	3.1
0.0627	4.0	3.2
0.0439	5.9	2.3
0.0386	6.7	9.1
0.0043	9.3	7.0
0.0742	5.9	6.1
0.0289	3.1	3.1
0.0039	20.5	10.3
0.0575	5.6	3.5
0.0377	3.4	2.1
0.0047	8.5	6.4
0.0942	5.0	3.9
0.0297	6.1	3.4
0.0723	3.3	1.8
0.0308	4.9	3.6
0.0684	3.4	5.8
0.0925	11.1	5.3
%0.0018	144.4	66.
0.0548	7.1	3.6
0.0052	17.3	9.6
0.0344	9.3	5.8
0.0871	4.4	2.9
0.0546	11.2	9.2
0.0372	6.7	1.3
0.0147	10.9	2.7
0.0569	10.7	2.8
0.0289	10.7	2.8
0.0145	19.3	3.4
0.0720	8.3	3.5
0.0324	20.1	3.4
0.0212	14.2	1.9
0.0061	32.8	6.6
0.0183	37.2	7.7
0.0154	24.7	2.6
0.0327	23.2	5.2
0.0640	5.0	3.1
%0.0196	27.0	4.6
0.0450	14.7	6.2
0.0088	22.7	2.3
0.0310	15.5	5.5
0.0170	23.5	2.4
0.0362	13.8	4.1
0.0771	8.7	4.7
0.0098	20.4	1.0
0.0484	12.2	5.8
0.1008	7.4	7.9
0.0335	6.9	0.9
0.0513	12.3	2.9
0.2317	3.0	2.9
0.0156	17.9	3.8
0.0547	15.5	11.9
0.1451	4.7	2.9
0.0243	19.8	3.3
0.0584	13.7	11.3
0.0959	7.9	3.6
0.0388	7.7	0.5
0.0355	10.1	4.5
0.1501	4.7	2.3
0.0480	12.1	4.2
0.0628	9.6	4.3
0.1647	3.6	2.4
0.4800	11.5	5.2
0.0740	7.6	5.4
0.0330	4.5	0.6
0.0484	5.4	1.4
0.0145	15.9	0.7
0.0480	6.5	2.7
0.0368	7.3	1.1
0.0592	12.3	2.5
0.6390	1.3	1.1
0.0458	11.4	2.4
%0.0481	16.2	13.9
0.0181	13.8	1.1
0.0540	15.9	8.7
0.1361	14.7	8.8
0.0538	12.1	4.6
0.0619	13.2	3.2
0.0543	14.5	3.3
